Away Team,Away Score,Home Team,Home Score
San Francisco Giants,1,Los Angeles Dodgers,8
New York Yankees,4,Washington Nationals,1
Baltimore Orioles,2,Boston Red Sox,13
Minnesota Twins,10,Chicago White Sox,5
Milwaukee Brewers,0,Chicago Cubs,3
Detroit Tigers,1,Cincinnati Reds,7
Kansas City Royals,0,Cleveland Indians,2
Seattle Mariners,2,Houston Astros,8
San Francisco Giants,1,Los Angeles Dodgers,9
Atlanta Braves,0,New York Mets,1
Los Angeles Angels,3,Oakland Athletics,7
Miami Marlins,5,Philadelphia Phillies,2
Arizona D'Backs,2,San Diego Padres,7
Pittsburgh Pirates,4,St. Louis Cardinals,5
Toronto Blue Jays,6,Tampa Bay Rays,4
Colorado Rockies,0,Texas Rangers,1
Baltimore Orioles,7,Boston Red Sox,2
Minnesota Twins,3,Chicago White Sox,10
Milwaukee Brewers,8,Chicago Cubs,3
Detroit Tigers,6,Cincinnati Reds,4
Kansas City Royals,3,Cleveland Indians,2
Seattle Mariners,2,Houston Astros,7
San Francisco Giants,5,Los Angeles Dodgers,4
Atlanta Braves,5,New York Mets,3
Los Angeles Angels,4,Oakland Athletics,1
Miami Marlins,1,Philadelphia Phillies,7
Arizona D'Backs,1,San Diego Padres,5
Pittsburgh Pirates,1,St. Louis Cardinals,9
Toronto Blue Jays,1,Tampa Bay Rays,4
Colorado Rockies,3,Texas Rangers,2
New York Yankees,2,Washington Nationals,9
Baltimore Orioles,7,Boston Red Sox,4
Minnesota Twins,14,Chicago White Sox,2
Milwaukee Brewers,1,Chicago Cubs,9
Detroit Tigers,3,Cincinnati Reds,2
Kansas City Royals,2,Cleveland Indians,9
Seattle Mariners,7,Houston Astros,6
San Francisco Giants,3,Los Angeles Dodgers,1
Atlanta Braves,14,New York Mets,1
Los Angeles Angels,4,Oakland Athletics,6
Miami Marlins,11,Philadelphia Phillies,6
Arizona D'Backs,4,San Diego Padres,3
Pittsburgh Pirates,5,St. Louis Cardinals,1
Toronto Blue Jays,5,Tampa Bay Rays,6
Colorado Rockies,5,Texas Rangers,2
New York Yankees,3,Washington Nationals,2
New York Mets,7,Boston Red Sox,4
Chicago Cubs,8,Cincinnati Reds,7
Kansas City Royals,14,Detroit Tigers,6
Seattle Mariners,5,Houston Astros,8
Los Angeles Angels,0,Oakland Athletics,3
Milwaukee Brewers,6,Pittsburgh Pirates,5
Arizona D'Backs,2,San Diego Padres,6
Atlanta Braves,5,Tampa Bay Rays,14
