Baltimore Orioles,10,Boston Red Sox,9
Milwaukee Brewers,0,Chicago Cubs,4
Pittsburgh Pirates,5,Cincinnati Reds,4
Chicago White Sox,3,Houston Astros,2
Minnesota Twins,2,Kansas City Royals,0
Arizona D'Backs,2,Los Angeles Dodgers,8
New York Mets,5,Miami Marlins,3
San Francisco Giants,0,New York Yankees,5
Los Angeles Angels,1,Oakland Athletics,2
Colorado Rockies,7,San Diego Padres,2
Cleveland Guardians,0,Seattle Mariners,3
Toronto Blue Jays,10,St. Louis Cardinals,9
Detroit Tigers,0,Tampa Bay Rays,4
Philadelphia Phillies,7,Texas Rangers,11
Atlanta Braves,7,Washington Nationals,2
Chicago White Sox,3,Houston Astros,6
Arizona D'Backs,2,Los Angeles Dodgers,1
New York Mets,1,Miami Marlins,2
Colorado Rockies,4,San Diego Padres,1
Cleveland Guardians,9,Seattle Mariners,4
Baltimore Orioles,8,Boston Red Sox,9
Milwaukee Brewers,3,Chicago Cubs,1
Pittsburgh Pirates,2,Cincinnati Reds,6
Chicago White Sox,4,Houston Astros,6
Minnesota Twins,2,Kansas City Royals,0
Arizona D'Backs,1,Los Angeles Dodgers,10
New York Mets,6,Miami Marlins,2
San Francisco Giants,7,New York Yankees,5
Los Angeles Angels,13,Oakland Athletics,1
Colorado Rockies,4,San Diego Padres,8
Cleveland Guardians,2,Seattle Mariners,0
Toronto Blue Jays,1,St. Louis Cardinals,4
Detroit Tigers,2,Tampa Bay Rays,12
Philadelphia Phillies,3,Texas Rangers,16
Atlanta Braves,7,Washington Nationals,1
Baltimore Orioles,5,Boston Red Sox,9
Milwaukee Brewers,9,Chicago Cubs,5
Pittsburgh Pirates,1,Cincinnati Reds,3
Chicago White Sox,6,Houston Astros,3
Minnesota Twins,7,Kansas City Royals,4
Arizona D'Backs,2,Los Angeles Dodgers,1
New York Mets,5,Miami Marlins,1
San Francisco Giants,0,New York Yankees,6
Los Angeles Angels,6,Oakland Athletics,0
Colorado Rockies,1,San Diego Padres,3
Cleveland Guardians,6,Seattle Mariners,5
Toronto Blue Jays,4,St. Louis Cardinals,9
Detroit Tigers,1,Tampa Bay Rays,5
Philadelphia Phillies,1,Texas Rangers,2
Atlanta Braves,1,Washington Nationals,4
Pittsburgh Pirates,7,Boston Red Sox,6
San Francisco Giants,12,Chicago White Sox,3
Chicago Cubs,6,Cincinnati Reds,7
Detroit Tigers,7,Houston Astros,6
Toronto Blue Jays,5,Kansas City Royals,9
Colorado Rockies,4,Los Angeles Dodgers,13
Minnesota Twins,11,Miami Marlins,1
New York Mets,0,Milwaukee Brewers,10
Philadelphia Phillies,1,New York Yankees,8
Cleveland Guardians,12,Oakland Athletics,11
Arizona D'Backs,4,San Diego Padres,5
Los Angeles Angels,7,Seattle Mariners,3
Atlanta Braves,8,St. Louis Cardinals,4
Baltimore Orioles,2,Texas Rangers,0
Tampa Bay Rays,6,Washington Nationals,2
Pittsburgh Pirates,4,Boston Red Sox,1
Chicago Cubs,12,Cincinnati Reds,5
Detroit Tigers,6,Houston Astros,3
Toronto Blue Jays,4,Kansas City Royals,1
Colorado Rockies,2,Los Angeles Dodgers,5
Minnesota Twins,0,Miami Marlins,1
New York Mets,0,Milwaukee Brewers,9
Philadelphia Phillies,4,New York Yankees,1
Cleveland Guardians,3,Oakland Athletics,4
Arizona D'Backs,8,San Diego Padres,6
Los Angeles Angels,2,Seattle Mariners,11
Atlanta Braves,4,St. Louis Cardinals,1
Baltimore Orioles,7,Texas Rangers,2
Tampa Bay Rays,10,Washington Nationals,6
Pittsburgh Pirates,4,Boston Red Sox,1
San Francisco Giants,3,Chicago White Sox,7
Detroit Tigers,2,Houston Astros,8
Toronto Blue Jays,3,Kansas City Royals,0
Minnesota Twins,2,Miami Marlins,5
New York Mets,6,Milwaukee Brewers,7
Philadelphia Phillies,2,New York Yankees,4
Cleveland Guardians,6,Oakland Athletics,4
Los Angeles Angels,4,Seattle Mariners,3
Atlanta Braves,5,St. Louis Cardinals,2
Baltimore Orioles,2,Texas Rangers,5
Tampa Bay Rays,7,Washington Nationals,2
Los Angeles Dodgers,5,Arizona D'Backs,2
San Diego Padres,6,Atlanta Braves,7
San Francisco Giants,16,Chicago White Sox,6
Washington Nationals,0,Colorado Rockies,1
Boston Red Sox,6,Detroit Tigers,3
Toronto Blue Jays,6,Kansas City Royals,3
Toronto Blue Jays,4,Los Angeles Angels,3
Los Angeles Dodgers,3,Arizona D'Backs,6
San Diego Padres,5,Atlanta Braves,4
New York Yankees,6,Baltimore Orioles,7
Texas Rangers,0,Chicago Cubs,2
Seattle Mariners,5,Cleveland Guardians,3
Washington Nationals,10,Colorado Rockies,5
St. Louis Cardinals,0,Milwaukee Brewers,4
Houston Astros,2,Minnesota Twins,3
Miami Marlins,3,New York Mets,9
Cincinnati Reds,2,Philadelphia Phillies,5
Chicago White Sox,9,Pittsburgh Pirates,13
Kansas City Royals,3,San Francisco Giants,1
Oakland Athletics,5,Tampa Bay Rays,9
Toronto Blue Jays,5,Los Angeles Angels,9
Los Angeles Dodgers,8,Arizona D'Backs,12
San Diego Padres,4,Atlanta Braves,1
New York Yankees,4,Baltimore Orioles,1
Texas Rangers,3,Chicago Cubs,10
Seattle Mariners,3,Cleveland Guardians,2
Washington Nationals,7,Colorado Rockies,6
Boston Red Sox,14,Detroit Tigers,5
St. Louis Cardinals,6,Milwaukee Brewers,0
Houston Astros,6,Minnesota Twins,9
Miami Marlins,2,New York Mets,5
Cincinnati Reds,2,Philadelphia Phillies,3
Chicago White Sox,11,Pittsburgh Pirates,5
Kansas City Royals,6,San Francisco Giants,5
Oakland Athletics,0,Tampa Bay Rays,11
Toronto Blue Jays,12,Los Angeles Angels,11
Los Angeles Dodgers,6,Arizona D'Backs,11
San Diego Padres,10,Atlanta Braves,2
New York Yankees,5,Baltimore Orioles,3
Texas Rangers,8,Chicago Cubs,2
Seattle Mariners,6,Cleveland Guardians,7
Washington Nationals,6,Colorado Rockies,7
Boston Red Sox,4,Detroit Tigers,1
St. Louis Cardinals,1,Milwaukee Brewers,6
Houston Astros,5,Minnesota Twins,1
Miami Marlins,7,New York Mets,2
Cincinnati Reds,6,Philadelphia Phillies,4
Chicago White Sox,0,Pittsburgh Pirates,1
Kansas City Royals,1,San Francisco Giants,3
Oakland Athletics,0,Tampa Bay Rays,11
Washington Nationals,6,Los Angeles Angels,4
Milwaukee Brewers,0,Arizona D'Backs,3
Cincinnati Reds,4,Atlanta Braves,5
Oakland Athletics,1,Baltimore Orioles,5
Seattle Mariners,2,Chicago Cubs,3
New York Yankees,2,Cleveland Guardians,3
St. Louis Cardinals,4,Colorado Rockies,7
Chicago White Sox,4,Minnesota Twins,3
San Diego Padres,0,New York Mets,5
Miami Marlins,3,Philadelphia Phillies,15
